Pressure (MPa),Temperature (°C),Specific Volume (m³/kg),Enthalpy (kJ/kg),Entropy (kJ/kg·K),Internal Energy (kJ/kg),Viscosity (μPa·s),Thermal Conductivity (mW/m·K),Density (kg/m³),Prandtl Number (dimensionless)
0.01,98.29595959595959,17.11728964994812,2684.209030735409,8.440134035721417,2513.0361342359283,12.2630270184411,24.055089308885734,0.058420463779616585,971.4602014455429
0.01,102.07272727272726,17.292581863034478,2691.4068374420062,8.459413983764282,2518.481018811661,12.40447800926523,24.367550480618057,0.05782826462355237,970.280733568397
0.01,105.84949494949494,17.467814938805965,2698.6064976679927,8.478505753905393,2523.9283482799324,12.546550502154997,24.682166806473354,0.057248144859746046,969.1667893325348
0.01,109.62626262626262,17.64299359514401,2705.8084898452435,8.497414334290484,2529.378553893803,12.689221940371844,24.998923159482402,0.056679723574531944,968.111429833913
0.01,113.40303030303029,17.818122093331368,2713.0132510004046,8.516144458480145,2534.8320300670903,12.832470694693459,25.317804023235134,0.05612263709733256,967.1085574098929
0.01,117.17979797979797,17.993204289853175,2720.221181470848,8.534700627494388,2540.289138572316,12.97627600654706,25.638793561337394,0.055576537891248494,966.1527876727736
0.01,120.95656565656564,18.16824368114294,2727.4326489054706,8.553087128971908,2545.7502120940417,13.120617935781727,25.961875678445967,0.05504109354488201,965.2393490117126
0.01,124.73333333333332,18.343243442531712,2734.647991704051,8.571308053997534,2551.2155572787337,13.265477312627091,26.28703407389215,0.05451598585238976,964.3640011893176
0.01,128.510101010101,18.51820646234075,2741.8675220023897,8.589367311998357,2556.6854573789824,13.410835693435663,26.614252288779102,0.05400090997114833,963.5229678573171
0.01,132.28686868686867,18.69313537184798,2749.091528281477,8.607268644010935,2562.1601745629973,13.556675319850212,26.943513747328343,0.05349557364817507,962.7128796570186
0.01,136.06363636363636,18.868032571713425,2756.3202776602234,8.625015634556366,2567.6399519430893,13.702979081076293,27.274801793155774,0.052999696507794875,961.930725656956
0.01,139.84040404040402,19.04290025534376,2763.554017918651,8.642611722314125,2573.125015365213,13.849730478974049,27.608099721074165,0.052513009394111757,961.1738115412329
0.01,143.61717171717171,19.21774042959677,2770.792979289415,8.660060209751553,2578.6155749934474,13.996913595713627,27.94339080494687,0.05203525376271211,960.4397233790525
0.01,147.39393939393938,19.392554933164735,2778.0373760489706,8.677364271840322,2584.1118267173233,14.144513063764837,28.280658322054325,0.051566181116745026,959.7262960798048
0.01,151.17070707070707,19.567345452925917,2785.2874079345747,8.69452696397091,2589.613953405316,14.292514038015424,28.619885574379264,0.051105552483127925,959.0315858259879
0.01,154.94747474747473,19.74211353851275,2792.543261409336,8.711551229159808,2595.122126024209,14.440902169832949,28.961055907168728,0.05065313792513696,958.3538459107032
0.01,158.72424242424242,19.91686061531144,2799.8051107942565,8.728439904630836,2600.636504641142,14.589663582903857,29.304152725088116,0.050208716088078274,957.6915055066681
0.01,162.50101010101008,20.091587996078943,2807.0731192835538,8.745195727840775,2606.157239322764,14.73878485069959,29.649159506245756,0.04977207377511221,957.0431509708544
